No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,MSFT,Microsoft Corporation,"3,115.91B",419.21,1.23%,227.58B
2,AAPL,Apple Inc,"2,925.78B",189.22,0.61%,385.71B
3,GOOG,Alphabet Inc.,"1,857.90B",150.15,1.99%,307.39B
4,GOOGL,Alphabet Inc.,"1,856.82B",148.90,2.05%,307.39B
5,AMZN,"Amazon.com, Inc.","1,803.20B",173.60,2.21%,574.79B
6,NVDA,NVIDIA Corporation,"1,769.04B",715.94,2.80%,44.87B
7,META,"Meta Platforms, Inc.","1,199.62B",470.34,0.07%,134.90B
8,BRK.B,Berkshire Hathaway Inc.,859.93B,396.84,-0.16%,401.78B
9,LLY,Eli Lilly and Company,701.12B,738.46,0.38%,32.07B
10,TSLA,"Tesla, Inc.",611.73B,192.09,1.33%,96.77B
11,AVGO,Broadcom Inc.,593.82B,"1,268.28",-0.51%,35.82B
12,V,Visa Inc.,553.06B,275.63,-0.06%,33.35B
13,JPM,JPMorgan Chase & Co.,504.01B,174.34,-0.26%,154.08B
14,UNH,UnitedHealth Group Incorporated,478.69B,517.58,-0.48%,359.98B
15,WMT,Walmart Inc.,456.13B,169.44,0.04%,638.79B
16,MA,Mastercard Incorporated,425.54B,457.32,-0.21%,25.10B
17,XOM,Exxon Mobil Corporation,408.03B,102.09,-1.81%,355.67B
18,JNJ,Johnson & Johnson,377.03B,156.60,0.13%,95.33B
19,PG,The Procter & Gamble Company,370.51B,157.46,-0.74%,83.93B
20,HD,"The Home Depot, Inc.",360.55B,362.34,-0.38%,153.71B
21,ORCL,Oracle Corporation,321.23B,116.86,0.15%,51.63B
22,COST,Costco Wholesale Corporation,320.44B,722.01,-0.30%,245.65B
23,MRK,"Merck & Co., Inc.",318.23B,125.60,-0.80%,59.31B
24,ABBV,AbbVie Inc.,306.82B,173.70,-0.63%,55.14B
25,CVX,Chevron Corporation,286.49B,152.22,-1.20%,195.16B
26,CRM,"Salesforce, Inc.",282.58B,292.00,0.02%,33.95B
27,ADBE,Adobe Inc.,281.73B,623.36,1.22%,19.41B
28,AMD,"Advanced Micro Devices, Inc.",277.15B,171.53,1.29%,22.68B
29,BAC,Bank of America Corporation,261.23B,33.01,-0.33%,101.15B
30,KO,The Coca-Cola Company,256.23B,59.27,-0.94%,45.03B
31,NFLX,"Netflix, Inc.",242.86B,560.93,0.43%,33.72B
32,PEP,"PepsiCo, Inc.",232.54B,169.14,-2.71%,91.62B
33,ACN,Accenture plc,232.54B,370.82,0.64%,64.59B
34,TMO,Thermo Fisher Scientific Inc.,213.02B,551.49,0.11%,42.86B
35,MCD,McDonald's Corporation,210.42B,290.10,-0.63%,25.01B
36,LIN,Linde plc,203.02B,418.76,1.15%,37.29B
37,CSCO,"Cisco Systems, Inc.",202.40B,49.83,-0.25%,58.03B
38,DIS,The Walt Disney Company,198.86B,108.40,-1.94%,88.94B
